colony,time,treat,queen_egg,queen_agg,queen_police,queen_move,queen_stationary,prop_moving,prop_stationary,worker_agg,worker_egg,notes
2,1,C,0,1,0,1173,2428,0.3257492,0.6742508,2,0,
9,1,C,0,3,0,901,2738,0.247586802,0.752413198,0,0,
20,1,C,0,1,0,1193,2374,0.334342179,0.665657821,2,0,
27,1,C,0,0,0,1281,2295,0.358137958,0.641862042,0,0,
31,1,C,0,1,0,2213,1369,0.617857385,0.382142615,0,0,
36,1,C,0,1,0,2002,1519,0.56847213,0.43152787,0,0,
37,1,C,0,2,0,2378,1143,0.675433209,0.324566791,0,0,
49,1,C,0,0,0,2126,1473,0.590755201,0.409244799,1,0,
62,1,C,0,0,0,1850,1700,0.521133574,0.478866426,0,0,
65,1,C,0,2,0,1628,1953,0.454623945,0.545376055,0,0,
11,1,R,0,1,0,917,2761,0.249407581,0.750592419,2,1,
14,1,R,0,2,0,2507,1079,0.699060144,0.300939856,0,0,
15,1,R,0,0,0,1111,2474,0.309847496,0.690152504,1,0,
26,1,R,2,0,2,1990,342,0.853417687,0.146582313,1,0,
43,1,R,0,0,4,1945,1634,0.54350264,0.45649736,0,0,
56,1,R,0,1,0,1476,2091,0.413741916,0.586258084,0,0,
61,1,R,1,0,2,1953,1240,0.61175109,0.38824891,0,1,
73,1,R,0,1,0,1075,2501,0.300622326,0.699377674,0,0,
2,2,C,0,0,0,847,2178,0.279890591,0.720109409,2,2,
9,2,C,0,0,0,293,952,0.235075915,0.764924085,0,0,
20,2,C,0,0,0,350,1870,0.157526366,0.842473634,3,0,recording only 37 minutes
27,2,C,0,0,0,974,2582,0.273937468,0.726062532,0,0,
31,2,C,0,0,0,822,2721,0.232106636,0.767893364,0,1,
36,2,C,0,1,1,2198,1322,0.624455724,0.375544276,0,1,
37,2,C,0,2,0,2518,1019,0.711862639,0.288137361,1,0,
49,2,C,0,0,0,886,2681,0.248510788,0.751489212,0,1,
62,2,C,0,0,0,1165,1924,0.377137585,0.622862415,0,0,
65,2,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,queen not seen 2nd video
11,2,R,0,0,0,1001,2761,0.266037124,0.733962876,0,2,
14,2,R,0,1,0,907,2891,0.238716355,0.761283645,0,0,
15,2,R,0,0,0,433,3134,0.121390584,0.878609416,0,0,
26,2,R,0,0,0,930,1992,0.31831234,0.68168766,0,1,
43,2,R,0,0,0,1979,1592,0.554234087,0.445765913,0,0,
56,2,R,0,0,0,817,2352,0.257816314,0.742183686,1,0,
61,2,R,0,0,0,774,2812,0.215908942,0.784091058,0,2,
73,2,R,0,0,0,1001,2046,0.328440924,0.671559076,0,0,
