Queen No,Thorax 1,Thorax 2,Wing 1,Wing 2,Av thorax,Av wing
1,6.9,6.6,4.37,4.41,6.75,4.39
2,6.6,6.4,4.1,4.1,6.5,4.1
3,7.9,7.69,4.13,4.16,7.795,4.145
4,6.9,7.16,3.88,3.9,7.03,3.89
5,6.81,6.86,4.27,4.3,6.835,4.285
6,6.57,6.51,4.07,4.06,6.54,4.065
7,8,7.58,4.14,4.24,7.79,4.19
8,6.77,6.96,4.08,4.1,6.865,4.09
9,6,6.2,3.9,4,6.1,3.95
10,7.04,6.94,4.25,4.25,6.99,4.25
11,6.3,6.5,4.1,4.1,6.4,4.1
12,6.62,6.4,4.05,4.11,6.51,4.08
13,6.31,6.45,3.68,3.71,6.38,3.695
14,6.7,6.5,4.2,4.2,6.6,4.2
15,7.1,7.2,4.2,4.2,7.15,4.2
16,6.88,6.43,4,4.06,6.655,4.03
18,6.4,5.84,3.64,3.69,6.12,3.665
19,6.96,6.2,4.36,4.36,6.58,4.36
20,7,7,4,4,7,4
21,7.38,7.41,4.15,4.24,7.395,4.195
22,6.02,6.47,3.93,4,6.245,3.965
23,7.1,7.4,3.9,3.9,7.25,3.9
24,6.24,6.1,4.05,4.11,6.17,4.08
25,6.87,6.83,4.24,4.26,6.85,4.25
26,7,6.7,4.4,4.4,6.85,4.4
27,6.7,6.9,3.9,4,6.8,3.95
28,6.78,6.68,4.16,4.16,6.73,4.16
29,6.31,6.76,4.14,4.14,6.535,4.14
30,7.4,6.9,4.3,4.1,7.15,4.2
31,5.53,5.49,4.24,4.29,5.51,4.265
32,6.31,6.52,3.9,3.9,6.415,3.9
33,7.05,6.95,4.15,4.22,7,4.185
34,7.2,7.5,4.37,4.39,7.35,4.38
35,7.15,7.48,4.21,4.22,7.315,4.215
36,6.6,6.3,3.9,4.1,6.45,4
37,6.3,6.2,4,4,6.25,4
38,6.94,7.07,4.29,4.31,7.005,4.3
39,6.62,6.6,3.9,3.87,6.61,3.885
40,6.5,6.5,3.8,3.9,6.5,3.85
41,6.63,6.53,4.21,4.22,6.58,4.215
42,6.49,6.9,4.26,4.23,6.695,4.245
43,7,6.9,4.1,4.1,6.95,4.1
44,6.23,6.42,4.19,4.27,6.325,4.23
45,6.33,6.55,4.26,4.24,6.44,4.25
46,6.97,6.88,4.22,4.3,6.925,4.26
47,6.66,6.71,4.17,4.22,6.685,4.195
48,6.59,6.56,4.04,4.11,6.575,4.075
49,6.71,6.31,4.18,4.17,6.51,4.175
50,6.59,6.54,4.13,4.14,6.565,4.135
52,7.02,7.16,4.36,4.1,7.09,4.23
53,7.36,7.39,4.14,4.26,7.375,4.2
55,6.3,6.2,3.9,3.9,6.25,3.9
56,7.2,7.2,4.3,4.4,7.2,4.35
58,6.77,6.75,4.18,4.16,6.76,4.17
59,6.9,7.1,4.1,4.2,7,4.15
60,6.37,6.35,3.96,4,6.36,3.98
61,6.52,6.5,4.08,4.08,6.51,4.08
62,7.6,7.4,4.2,4.2,7.5,4.2
63,6.72,6.75,4.13,4.09,6.735,4.11
64,6.6,6.8,4.1,4.2,6.7,4.15
65,6.9,6.6,4.2,4.2,6.75,4.2
66,7.18,6.73,4.19,4.24,6.955,4.215
67,6.52,6.35,4.37,4.28,6.435,4.325
68,6.86,6.76,4.07,4.1,6.81,4.085
69,6.87,6.88,4.04,4.06,6.875,4.05
70,5.89,5.68,3.83,3.88,5.785,3.855
71,7.32,7.41,4.45,4.49,7.365,4.47
72,6.78,7.01,4.12,4.15,6.895,4.135
73,6.4,6.4,4.2,4.2,6.4,4.2
74,6.91,7.1,4.2,4.2,7.005,4.2
75,6.97,6.37,4.33,4.38,6.67,4.355
